Developer/Publisher Name,Careers Page,Total Jobs,"Administration, Facilities, and Office Management","Accounting, Finance & Tax","Art, Tech Art, Animation, Cinematics & Video",Audio,"Bus. Dev, Corp. Dev., Sales, Strategy, Partnerships, Licensing","Business Intelligence, Data, Analytics","Communications, PR, Policy",Customer & Community Mgmt & Support,"Engineering, Programming & Tech. Writing",Game Design,General App Only,"HR, Talent, Recruiting, Enablement & Sustainability",Internships,"IT, Tech & Security",Legal,Localization / Translation,"Marketing, Brand, Advertising, UA & eSports, Influencer/Social Mgmt","Production, Proj. Mgmt., Bus+Comm Ops, Performance",QA,"User And Player Interface, Experience & Research",Writing & Narrative
Argus Labs,https://jobs.ashbyhq.com/argus,6,,,1,,,,,,2,1,,,,,,,,2,,,
Arkadium,https://apply.workable.com/arkadium-1/?lng=en,2,,,,,,,,,1,1,,,,,,,,,,,
Arrivant,https://www.projecteluune.com/jobs,7,,,5,,,,,,,,,,,,,,,1,,1,
Asobo,https://www.asobostudio.com/careers,40,,,4,1,1,2,,,23,6,,,,,,,,2,,1,
AxesInMotion,https://axesinmotion.com/work-with-us/,6,,,2,,,,,,1,,,1,,,,,,1,1,,
Bad Rhino Studios,https://www.badrhinogames.com/careers/,8,,,3,,,,,,2,2,,,,,,,,1,,,
Bad Robot Games,https://www.badrobotgames.com/job-openings,5,,,2,,,,,,1,,,,,1,,,,,1,,
Bandai Namco - Americas,https://www.bandainamcoent.com/careers,5,,1,,,1,,1,,,,,,,,,,2,,,,
Bandai Namco - Europe,https://bandai-namco.human-sourcing.com/en,9,,,,,1,,,,,,,,5,,,,,3,,,
Bandai Namco - France,https://inrecruitingfr.intervieweb.it/namcobandai/en/career,12,,2,,,2,1,,,,,,1,1,,1,,1,3,,,
Bandai Namco - Mobile,https://bandainamcomobile.com/careers,3,,,1,,,,,,,1,,,,,,,1,,,,
Beamdog,https://www.beamdog.com/careers/#current,5,,,1,,,,,,2,2,,,,,,,,,,,
Beamng,https://beamng.gmbh/career/,6,,,1,,,,,,3,,,,2,,,,,,,,
Beenox,https://careers.beenox.com/us/en,11,,,,,,,,,7,,,,1,1,,,,2,,,
Behaviour Interactive,https://www.bhvr.com/jobs/,47,,,5,1,1,2,,,18,4,,,,3,,,3,7,1,2,
Big Fish Games,https://careers.aristocrat.com/pixelunited/au/en/big-fish-jobs?s=1&rk=l-big-fish-search-9o2yAoTuzn,18,,,3,,1,3,,,7,,,,,1,,,,3,,,
Big Huge Games,https://bighugegames.com/careers/,7,,,,,,1,,1,1,1,,,,,,,,2,1,,
Bigadventure.games,https://www.linkedin.com/company/bigadventure/jobs/,1,,,,,,,,,1,,,,,,,,,,,,
Bioware,https://www.bioware.com/careers/#current-openings,1,,,,,,,,,,,,,,,,,,1,,,
Bit Reactor,https://www.bitreactor.com/careers/,22,,1,7,,,,,,9,3,,,,,,,,2,,,
Bitwise Alchemy,https://www.bitwisealchemy.com/careers/,3,,1,,,,,,,2,,,,,,,,,,,,
Blackbird Interactive,https://blackbirdinteractive.com/careers-2/,5,,,2,,,,,,2,,,,,,,,,,,1,
Bladework Games,https://www.bladeworkgames.com/#careers,2,,,,,,,,,1,,,,,,,,,1,,,
Blind Squirrel Games,https://blindsquirrelentertainment.com/careers/,11,,,2,,,,,,5,2,,,,1,,,,1,,,
Blitworks,https://blitworks.com/contact/,1,,,,,,,,,,,1,,,,,,,,,,
Blizzard,https://careers.blizzard.com/global/en,340,1,3,90,3,5,6,5,2,95,33,,15,8,2,1,4,15,40,6,4,2
Bloober,https://blooberteam.recruitee.com/,9,,,5,,,,,,4,,,,,,,,,,,,
Bohemia Interactive,https://careers.bohemia.net/positions,59,,,20,1,,,,2,25,5,,,,2,,,1,,,3,
Brass Lion Entertainment,https://brasslionentertainment.com/careers/,4,,,,,,,,1,3,,,,,,,,,,,,
Bungie,https://careers.bungie.com/jobs,131,1,3,23,2,3,5,1,,31,10,,3,14,8,1,,6,12,5,2,1
ByteDance (VR),https://jobs.bytedance.com/en/position?keywords=pico&category=&location=&project=&type=&job_hot_flag=&current=1&limit=10&functionCategory=,59,,,,,14,,,,33,,,,,,,,2,10,,,
Capcom,https://jobs.jobvite.com/capcomusa,1,1,,,,,,,,,,,,,,,,,,,,
Capybara Games,https://www.capybaragames.com/careers/,2,,,,,,,,,2,,,,,,,,,,,,
Carry1st,https://www.carry1st.com/join-us,9,,,,,,1,,,,2,,1,1,,1,,1,2,,,
CCP Games,https://jobs.50skills.com/ccpgames/en,13,,,,,,,,,10,,,,,,,,,1,1,,1
CD Projekt,https://en.cdprojektred.com/jobs/,54,1,1,7,1,,1,,,28,8,,1,,1,,,1,2,,1,1
Certain Affinity,https://www.certainaffinity.com/careers/,25,1,,13,,,,,,5,2,,1,,1,,,,2,,,
Charisma,https://charisma.ai/careers,3,,,,,,,,,3,,,,,,,,,,,,
Chromatic Games,https://chromatic.games/careers/,9,,,2,,,,,,2,2,,,,,,,,1,1,1,
Chucklefish Limited,https://chucklefish.org/about/#jobs,1,,,,,,,,,1,,,,,,,,,,,,
CI Games,https://cigames.teamtailor.com/jobs,6,,,3,,,1,,,1,1,,,,,,,,,,,
Cloud Imperium Games,https://cloudimperiumgames.com/jobs,151,3,1,42,7,2,,,2,46,16,,3,,2,,5,3,14,5,,
Coffee Stain,https://www.coffeestainstudios.com/jobs/,13,,,4,,,1,,1,7,,,,,,,,,,,,
Cold Iron Studios,https://cold-iron-studios.breezy.hr/,4,,,1,,,,,,,2,,,,1,,,,,,,
Cold Symmetry,https://www.coldsymmetry.com/jobs,15,,,12,,,,,,3,,,,,,,,,,,,
Counterplay Games,https://counterplay-games-inc.breezy.hr/,6,,,5,,,,,,,1,,,,,,,,,,,
Crop Circle Games,https://cropcircle.co/careers,6,,,2,,,,,,2,1,,,,,,,,1,,,
Crytek,https://www.crytek.com/career,131,,1,33,,,,2,,67,14,,1,,1,,,,5,4,3,
Curve Games,https://curvegames.com/join-us/,1,,,,,,,,,,,,,,,,,,1,,,
Dabadu,https://www.dabadugames.com/join,0,,,,,,,,,,,,,,,,,,,,,
Darewise,https://www.welcometothejungle.com/en/companies/darewise-entertainment/jobs?page=1,11,,1,1,,,,1,1,5,,,1,,,,,,1,,,
Daybreak Game Company LLC,https://www.daybreakgames.com/careers,24,,1,4,,,2,,1,8,3,,1,,1,,,1,1,1,,
Deca Games,https://www.decagames.com/#5,13,,,1,,,,,1,8,,,,,,,,,2,1,,
Deep Silver Dambuster Studios,https://www.dsdambuster.com/careers,15,,,8,1,,,,,2,,,1,,,,,,2,1,,
Demiurge,https://demiurgestudios.com/job-openings/,4,,,2,,,,,,1,,,,,,,,,1,,,
Dice,https://www.dice.se/careers,12,,,2,1,,,,,7,1,,,,,,,,1,,,
Digimancy Entertainment,https://digimancygames.com/jobs,3,,,,,,,,,2,1,,,,,,,,,,,
Digital Extremes,https://can63.dayforcehcm.com/CandidatePortal/en-US/digitalextremes/site/DEAPPLY,30,,,11,,,1,,,9,1,,3,,1,,,2,2,,,
Digital Legends Entertainment,http://www.digital-legends.com/jobs.html#openings,13,,,2,,,,,,6,4,,,,,,,,,,1,
Digix Art,https://sites.google.com/digixart.com/digixart/,1,,,,,,,,,,,1,,,,,,,,,,
Disruptive Games,https://jobs.lever.co/disruptivegames,16,,,5,,,,,,5,3,,,,,,,1,1,,1,
Dontnod,https://dont-nod.com/en/offers/,12,,1,10,,,,,,1,,,,,,,,,,,,
Double Eleven,https://double11.com/careers,14,,,7,1,,,,,4,1,,,,,,,,1,,,
DoubleDown Interactive,https://www.doubledowninteractive.com/jobs/,2,,,,,,,,1,,,,,,,,,1,,,,
Dragons Lake,https://dragonslake.com/join-the-team/,57,1,,14,,,1,,,29,4,,1,1,1,,,,4,,1,
Dreamhaven,https://www.dreamhaven.com/careers,16,,,4,,,,,,3,1,,,4,1,,1,,2,,,
Dropfake,https://www.dropfake.com/#careers,4,,,2,,,,,,2,,,,,,,,,,,,
Easybrain,https://easybrain.com/careers,20,,,2,,,1,,,6,1,,1,,,,,4,4,,1,
Electronic Arts,https://ea.gr8people.com/jobs,281,3,9,52,3,2,3,,,95,24,,3,25,1,2,6,6,35,5,7,
Embark Studios,https://careers.embark-studios.com/jobs,33,,,7,1,,2,,,13,2,,,,,,,1,1,2,4,
Endless Studios,https://about.endlessstudios.com/careers.html,6,,,,,1,,,,1,2,,,,,,,1,,,1,
Enduring Games,https://enduring.games/jobs/,12,,,1,,,,,,7,2,,,,,,,,2,,,
Epic,https://www.epicgames.com/site/en-US/careers/jobs,371,1,14,18,,3,8,,,158,16,,1,22,3,11,,14,62,38,2,
Ereban,https://www.ereban.com/contact/#careers,1,,,1,,,,,,,,,,,,,,,,,,
Fall Damage Studio,https://www.falldamagestudio.com/jobs,5,,,2,,,,,,2,1,,,,,,,,,,,
Fanatee,https://fanatee.com/#careers,39,,,,,,,,,2,,,3,6,,,5,16,,1,1,5
FarBridge,https://farbridge.com/careers,9,,,3,1,,,,,3,1,,,,,,,,,,1,
Feel Free Games,https://feelfreegames.com/jobs,2,,,1,,,,,,,1,,,,,,,,,,,
Final Strike Games,https://finalstrikegames.net/#careers,12,,,7,,,,,,1,2,,,,,,,,2,,,
Firaxis,https://firaxis.com/careers/,27,,,8,2,,,,,13,,,,,,,,,1,,1,2
Flaming Fowl Studios,https://www.flamingfowlstudios.com/,1,,,1,,,,,,,,,,,,,,,,,,
Flux Games,https://careers.flux.games/jobs,1,,,,,,,,,,,,,,,,,,1,,,
Focus Home Interactive,https://focushomeinteractive.recruitee.com/#section-170920,11,,1,1,,,,,,1,1,,,3,,1,,,2,,1,
Forspex,https://forspex.com/join-us/,1,,,,,,,,,,,1,,,,,,,,,,
Fortis Games,https://careers.fortisgames.com/,38,,,10,,,,,2,4,5,,2,,,,,,13,2,,
Frontier Developments,https://careers.frontier.co.uk/jobs,81,2,,22,2,,,1,2,29,3,,2,3,4,,,4,4,,3,
Full Circle Studio,https://www.ea.com/ea-studios/full-circle,7,,,4,,,,,,,3,,,,,,,,,,,
Funcom,https://jobs.funcom.com/jobs,47,1,,12,,,,,1,14,2,,,,1,,,1,5,10,,1
Funplus,https://funplus.com/careers/,8,,,2,,,,,,2,1,,,3,1,,,,,,,
Futurlab,https://futurlab.co.uk/jobs/,4,,,2,,,,,,2,,,,,,,,,,,,
G4AL,https://www.g4al.com/careers/,5,,,,,,,,,2,1,,,1,,,,1,,,,
Gamebreaking,https://careers.gamebreaking.com/,4,,,,,,,,,4,,,,,,,,,,,,
Gameforge,https://career.gameforge.com/search/?locale=en_EN&previewLink=true&referrerSave=false&token=6A8cQViXrH9tUprl4Xsq3w%3D%3D,16,,,,,,,,2,4,2,,,3,,,,2,3,,,
Gamehouse,https://talent.gamehouse.com/jobs,4,,1,,,,1,,,1,1,,,,,,,,,,,
Gameloft,https://www.gameloft.com/corporate/en/jobs/view-all-opportunities/,9,1,,1,,,,,2,4,1,,,,,,,,,,,
Game Taco,https://gametaco.com/careers/,2,,,,,,,,,2,,,,,,,,,,,,
Garena,https://careers.garena.com/global/careers,52,,,2,,7,1,,1,11,1,,5,,,,1,7,15,,1,
Gearbox Software,https://www.gearboxsoftware.com/careers/,79,,1,24,,,,3,,18,8,,4,7,,,,2,11,,1,
Ghost Story Games,https://www.ghoststorygames.com/careers/,3,,,1,,,,,,,,,,,,,,,1,,,1
Giant Squid,https://giantsquidstudios.com/Job-Index-Page,2,,,,,,,,,2,,,,,,,,,,,,
Goals,https://careers.goals.co/#jobs,7,,,,,,,,,5,,,1,,,,,,,1,,
Goblinz Studios,https://emploi.afjv.com/annonces-societes/1591,1,,,,,,,1,,,,,,,,,,,,,,
Good Job Games,https://goodjobgames.com/careers/,30,,,9,,2,4,,,7,2,,1,,,,,,3,2,,
Gram Games,https://gram.gs/join-us.html#openings,36,,,4,,1,3,,,10,7,,1,3,,,,,6,,1,
gumi,https://www.gumi.sg/career/,1,,,,,,,,,,,,,,,,,,1,,,
GungHo Online Entertainment,http://careers.gunghoonline.com/,5,,,,,,,,1,3,,,,,,,,,1,,,
Gunzilla,https://gunzillagames.com/en/careers/,50,1,,23,,,,,,10,6,,2,,1,,,1,3,2,1,
HandyGames,https://handy-games.com/en/jobs/,15,,,5,,2,,1,,3,1,,,,,,,1,1,1,,
Hardsuit Labs,https://boards.greenhouse.io/hardsuitlabs,4,,,2,,,,,,1,1,,,,,,,,,,,
Haven Studios,https://havenstudios.com/en/careers,18,1,,3,,,,,1,4,1,,,5,,,,,2,1,,
Heart Machine,https://www.heartmachine.com/careers,4,,,,,,,,,3,,,,,1,,,,,,,
Hidden Path,https://www.hiddenpath.com/join-us/,5,,,2,,,,,,2,1,,,,,,,,,,,
High Moon Studios,https://careers.highmoonstudios.com/,22,,,12,,,,,,10,,,,,,,,,,,,
Hinterland,https://hinterlandgames.com/#open-positions,6,,,2,,,,,,2,,,,,,,,,1,1,,
Homa Games,https://apply.workable.com/homa-games/,62,,1,6,,5,3,,2,14,7,,1,10,,,,5,8,,,
Hooded Horse,https://hoodedhorse.com/jobs/,1,,,,,,,,,,,,,,,,,1,,,,
Hoyoverse,https://app.mokahr.com/apply/mihoyo/44205#/,45,1,2,4,,5,,1,4,13,1,,3,,,1,3,3,3,,1,
Hypixel Studios,https://hypixelstudios.com/jobs/,25,,1,5,,,,,,6,3,,1,,2,,,,4,,3,
IGG,https://jobs.igg.com/careers.php,5,,,,,,,,,4,1,,,,,,,,,,,
Illtonic,https://illfonic.breezy.hr/,6,,,4,,,,,,2,,,,,,,,,,,,
Imagendary Studios,https://imagendary.com/careers/,8,,,4,,,,,,,4,,,,,,,,,,,
Infernozilla,https://infernozilla.com/careers/,4,1,,,,,,2,,,,,,,,,,1,,,,
Infinity Ward,https://careers.infinityward.com/search-results,69,,,27,3,,,,,29,1,,,5,,,,,1,,3,
Inflexion Games,https://jobs.lever.co/inflexion,6,,,1,,,,,,4,,,1,,,,,,,,,
Intrepid Studios,https://intrepidstudios.com/careers,15,1,,5,2,,,,,5,1,,,,1,,,,,,,
Insomniac Games,https://insomniac.games/careers/,16,,,6,1,,1,,,3,2,,1,1,,,,,1,,,
IO Interactive,https://career.ioi.dk/careers,34,,,6,1,,1,,,15,4,,,,,,,,5,1,1,
Iron Galaxy Studios,https://irongalaxystudios.com/careers,17,1,,3,,,,,,6,1,,,,,,,,5,1,,
Ironbelly,https://careers.smartrecruiters.com/IronbellyStudios,2,,,2,,,,,,,,,,,,,,,,,,
Jackbox Games,https://www.jackboxgames.com/jobs/,1,,1,,,,,,,,,,,,,,,,,,,
Jagex,https://jobs.lever.co/jagex,51,,1,7,,1,5,,3,16,2,,,,1,,1,6,6,2,,
Kabam Studios,https://kabam.com/careers/,20,,5,1,,,,,,3,,,4,,,,,,6,,1,
Kalypso Media,https://www.kalypsomedia.com/us/jobs,21,,2,2,,1,,1,,4,1,,,5,1,1,,2,1,,,
Kavalri Games,https://kavalrigames.teamtailor.com/?preview=true#jobs,5,,,,,,,,,3,2,,,,,,,,,,,
Kepler Interactive,https://careers.kepler-interactive.com/#jobs,9,,,,1,,1,,,3,1,,1,,,,,,,2,,
Keywords Studios,https://www.keywordsstudios.com/careers/,625,7,9,50,11,3,,,96,79,7,,35,3,34,1,118,5,7,159,1,
Kiloo Games,https://www.kiloogames.com/jobs/,5,,,1,,,1,,,1,,,,1,,,,,,,1,
King Games,https://careers.king.com/jobs/,85,1,3,4,,4,6,,1,39,3,,4,4,,,,2,11,1,1,1
KIXEYE,https://corp.kixeye.com/#careers,9,,,4,,,,,,1,4,,,,,,,,,,,
Klang Games,https://www.klang-games.com/careers,22,2,,4,,,1,,,6,2,,2,,,,,,3,1,1,
Koch Media,https://jobs.kochmedia.com/,88,3,16,14,,5,1,2,,12,5,,2,4,8,,,8,4,3,,1
Kokku,https://kokku.com.br/career/,17,,,6,,,,,1,5,1,,1,,1,,,,1,1,,
Konami Holdings,https://www.konami.com/games/us/en/jobs/,6,1,,,,2,1,,,,,,,,1,,,1,,,,
Krafton,https://krafton.com/en/careers/jobs/,177,1,20,39,,22,10,,,43,15,,1,,3,1,1,,8,6,7,
Kythera AI,https://www.kythera.ai/recruitment,7,,,,,,,,,5,2,,,,,,,,,,,
Larian Studios,https://larian.com/careers,32,3,3,4,,,,,,13,1,,,2,5,,,,,1,,
Leaguespot,https://angel.co/company/leaguespot-1,1,,,,,,,,,1,,,,,,,,,,,,
Legacy Labs,https://jobs.lever.co/LegacyLabs,1,,,1,,,,,,,,,,,,,,,,,,
LFG Studio Red,https://www.lfgstudiored.com/careers,37,,,13,2,,,,,11,3,,,,,,,,3,3,1,1
Lightforge Games,https://www.lightforge.gg/careers,4,,,3,,,,,,,,,,,,,,,,1,,
Limbic Entertainment,https://www.limbic-entertainment.de/jobs,24,,,3,,,,,,10,5,,1,1,,,,,,,2,2
Lince Works,https://linceworks.com/careers/,2,,,,,,,,,2,,,,,,,,,,,,
Lionbridge Games,https://careers.lionbridge.com/jobs/search/search-page-games,52,,,,,1,2,,,1,,,,2,1,,4,,4,37,,
Liquid Swords,https://careers.liquidswords.com/jobs,13,,,5,2,,,,1,2,2,,,,,,,,,,,1
Lost Boys Interactive,https://lostboysinteractive.applytojob.com/apply,45,,,24,1,,,,,9,8,,,,,,,,3,,,
"Lucasfilm/Disney ""Games"" Jobs",https://jobs.disneycareers.com/search-jobs/games/391-28648/1?glat=38.89511&glon=-77.03637,49,,3,17,,2,,,,9,,,2,13,,,,2,1,,,
Lucid Games,https://www.lucidgames.co.uk/careers/,18,,,8,,,,,,8,,,,,,,,,2,,,
Lunchbox Entertainment,https://lunchbox.io/careers,38,,,,,27,,,,2,,,,,,,,1,8,,,
Madbox,https://madbox.io/jobs/,3,,,,,,1,,,1,1,,,,,,,,,,,
Manticore Games,https://www.manticoregames.com/careers/,16,,,3,,,,,,7,2,,,,,,,1,3,,,
Massive Miniteam,https://www.massiveminiteam.com/,4,,,,,,,,,1,1,,,,1,,,,,1,,
Maxis Studios - EA,https://www.ea.com/ea-studios/maxis/careers,7,,,3,,,,,,,1,,,2,,,,,1,,,
MediaPro,https://jobs.mediapro.tv/empleos/search/?createNewAlert=false&q=lvp&optionsFacetsDD_zip=&optionsFacetsDD_customfield4=&locationsearch=,7,,,,,,,,3,,,,,,,,,2,2,,,
Melon Gaming,https://melon.breezy.hr/,11,,,3,,1,,,,3,2,,,,,,,1,,1,,
Melsoft,https://melsoft-games.com/jobs#!/tab/474968605-1,2,,,1,,,,,,,1,,,,,,,,,,,
Meta Quest,https://www.metacareers.com/areas-of-work/oculus/?p[divisions][0]=Oculus&divisions[0]=Oculus#openpositions,81,,,9,,1,1,,,43,7,,,9,,,,,10,,1,
Metric Minds,https://metricminds.com/jobs/,7,,,7,,,,,,,,,,,,,,,,,,
Microsoft,https://careers.microsoft.com/us/en/search-results?keywords=%23GamingJobs,4,,,,,,,,,4,,,,,,,,,,,,
Midnight Society,https://vsmstudio.freshteam.com/jobs,15,,,6,1,,,,,3,3,,,,,,,,2,,,
Mimimi Games,https://www.mimimi.games/,6,,,,,,,,,5,,,,,,,,,,1,,
Mob Entertainment,https://www.linkedin.com/jobs/search/?currentJobId=3407865458&f_C=26524090&geoId=92000000&originToLandingJobPostings=3407865458%2C3407869075%2C3407869173%2C3407575015%2C3407865607%2C3407870144%2C3393392866%2C3407869122%2C3421602161,19,,,8,,,,,1,1,2,,1,,1,,,1,2,1,,1
Modoyo,https://www.modoyo.com/#/jobs,7,,,3,,,,,,2,,,,,,,,1,1,,,
Modulate.ai,https://jobs.lever.co/modulate,3,,,,,1,,,,2,,,,,,,,,,,,
Mojang,https://www.minecraft.net/en-us/mojang-careers,5,,,,,,,,,3,,,,,,,,,1,,,1
Monster Closet Games,https://www.monsterclosetgames.com/en/jobs,2,,,1,,,,,,1,,,,,,,,,,,,
Moon Active,https://www.moonactive.com/careers/,55,,1,10,,3,2,,2,22,2,,1,,2,1,,3,6,,,
Motorsports Games,https://www.motorsportjobs.com/us/jobs/motorsport-games,40,,2,7,,,,1,,23,,,1,,1,,,,5,,,
Mountaintop Studios,https://jobs.lever.co/mountaintop/,12,,,2,,,,,,7,3,,,,,,,,,,,
Mythical Games,https://legacy.mythicalgames.com/careers,4,,,,,,,,,,,,1,,2,,,,1,,,
Naughty Dog,https://www.naughtydog.com/careers,34,,,12,5,,,,,6,4,,,,2,,1,,3,1,,
NCsoft,https://us.ncsoft.com/en-us/careers?sort=department#all,28,2,,7,1,3,,,,6,3,,1,,,,5,,,,,
Ndreams,https://ndreams.com/careers,27,,,10,1,,,,1,9,2,,1,,,,,1,2,,,
NetEase,https://www.neteasegames.com/careers/en/index.html,17,,,,,,,1,1,2,3,,,,1,,,1,4,,4,
Netflix (Studio + Night School + Boss Fight),https://jobs.netflix.com/search?team=Netflix%20Games%20Studio~Night%20School%20Studio~Boss%20Fight%20Entertainment,38,,,7,,,,,,5,3,,,,,,,2,14,5,2,
Nexon,https://www.nexon.net/corporate/careers/?__rlp=1,11,,,,,,2,,3,,,,1,,1,1,2,,1,,,
Next Level Games,https://www.nextlevelgames.com/careers/,4,,,1,,,,,,1,,,,,2,,,,,,,
Niantic,https://careers.nianticlabs.com/openings/,32,,,2,,,,,,12,5,,,,,,,3,6,,4,
Nimble Giant Entertainment,https://boards.greenhouse.io/nimblegiant,35,,,10,,,,,1,11,8,,1,,,,,,,1,3,
Nintendo,https://careers.nintendo.com/job-openings/,111,14,2,8,,6,5,,2,24,,,5,9,1,4,5,16,8,2,,
Nordlight,https://nordlight.io/wwu/,8,,,3,,,,,,2,1,,,,,,,,1,,1,
nWay Inc.,https://nway.com/careers/,4,,1,,,,,,1,,2,,,,,,,,,,,
Obsidian Entertainment,https://www.obsidian.net/careers#open-positions,12,,,5,,,,,,3,,,,4,,,,,,,,
Old Skull Games,https://oldskullgames.com/careers/,6,,,1,,,,,,2,,,1,,,,,,1,1,,
Omeda Studios,https://careers.omedastudios.com/jobs,9,,,2,,,,,,4,1,,,,,,,,,,2,
Originator,https://originator.applytojob.com,3,,,2,,,,,,,1,,,,,,,,,,,
Outplay,https://appvirality.kekahire.com/,4,,1,,,2,,,,,,,,,,,,1,,,,
Overwolf,https://www.overwolf.com/careers/#position,14,,2,,,2,2,,,5,1,,1,,,,,,,,1,
Panic Button,https://panicbuttongames.com/careers/,5,,,,,,,,,3,,,,,,,,,1,1,,
Paradox Interactive,https://career.paradoxplaza.com/jobs,22,,,3,,,,,1,13,2,,,1,1,,,,,1,,
Pearl Abyss,https://www.pearlabyss.com/en-US/Company/Careers/Intro,1,,,,,,,,,,,1,,,,,,,,,,
People Can Fly,https://peoplecanfly.com/career/#new-talents,98,,2,27,,,3,,,37,13,,1,,,1,,2,9,3,,
Phoenix Labs,https://phxlabs.ca/careers/,9,,,3,1,,,,,3,,,,,,,,,1,1,,
Phyrexi,https://www.phyrexi.com/#careers,3,,,1,,,,,,2,,,,,,,,,,,,
Pikpok,http://pikpok.com/careers,3,,,,,,,,,1,,,,,,,,,1,,1,
Pipeworks Studios,https://pipeworks.pinpointhq.com/,1,,,,,,,,,1,,,,,,,,,,,,
Pixelberry Studios,https://www.pixelberrystudios.com/careers,13,,,,,,1,,,4,1,,,,,,,2,4,,,1
Pixel Dash Studios,http://pixeldashstudios.com/jobs.html,4,,,1,,,,,,2,1,,,,,,,,,,,
Pixel Toys,https://pixeltoys.com/job-listings/,14,,,5,,,,,,5,,,,,1,,,,2,,1,
Plaion,https://jobs.plaion.com/eng,71,4,8,12,,3,4,2,,10,6,,2,5,2,,,5,4,3,,1
PlatinumGames,https://www.platinumgames.com/jobs/mid-career/,39,,,12,2,,,,,17,2,,,,,,,,6,,,
PlayEveryWare,https://www.playeveryware.com/careers,1,,,,,,,,,1,,,,,,,,,,,,
Playrix,https://www.playrix.com/en/job/open,58,,,9,,1,4,1,6,18,4,,2,,,,,5,8,,,
Playside,https://www.playsidestudios.com/careers,19,,,8,,1,,,,3,2,,,,,,,1,2,2,,
Playtika,https://www.playtika.com/careers/all/,20,,1,1,,1,2,,1,6,,,,,1,1,,2,4,,,
Polyphony Digital,https://www.polyphony.co.jp/recruit/english/,13,,,2,,1,,,,9,,,,,,,,,,,1,
PopCap,https://www.ea.com/ea-studios/popcap/careers,46,,2,17,,,,,,9,6,,1,2,,1,,2,5,,1,
Popcore,https://popcore.com/careers,15,,1,4,,,2,,,2,3,,1,,,,,,2,,,
Possibility Space,https://possibility.co/jobs,7,,,1,,,,,,4,,,,,,,,,1,,1,
Probably Monsters,https://www.probablymonsters.com/careers/,1,,,,,,,,,,,1,,,,,,,,,,
PTW,https://www.ptw.com/careers,291,,1,63,2,18,,,32,54,8,,10,,1,,6,4,3,88,1,
Purple Lamp,https://www.purplelamp.com/jobs/,14,,,9,,,,,,1,3,,,,1,,,,,,,
QLOC,https://q-loc.com/careers/,22,,,5,,,,,,5,2,,5,,,,2,,,3,,
Quantic Dream,https://jobs.eu.lever.co/quanticdream,97,,2,28,1,,,,,25,11,,1,1,3,,,3,9,7,4,2
Rare,https://www.rare.co.uk/careers,3,,,3,,,,,,,,,,,,,,,,,,
Rebellion,https://careers.rebellion.com/#/,63,,,26,,,,,,22,8,,,,,,,,2,1,4,
Rec Room,https://recroom.com/careers,35,,,,,,2,,,33,,,,,,,,,,,,
Red Cerberus,https://www.redcerberus.com/jobs/,8,,,3,,,,,,2,,,,1,,,1,,1,,,
Red Games,https://www.redgames.co/careers,3,,,,,,,,,1,,,,,,,,,1,,1,
Red Hill Games,https://careers.redhillgames.com/jobs,7,,,3,,,,,,1,2,,,,,,,,,1,,
Red Storm,https://www.redstorm.com/careers,10,,,6,,,,,,3,,,,,,,,,1,,,
